HotelCode|RoomAmenities
120898|BUSCTR,GIFT,ORBWLS,POOL,ELEV,CNFFAC,RMA207,REST,FPRKNG,HAC222,ROOM24,DOCTOR,TENNIS,SAFDEP,SPA,INTHS,NSMK,CONLEV,ROOM,HEALTH
121857|TOUR,PHY42,HAC47,CNFFAC,ORBSPA,POOLOT,TENNIS,PHY50,SPA,INTHS,PHY28,HEALTH,BUSCTR,CURREX,HAC116,POOL,ORBSHT,RMPACC,LANDRY,REST,FPRKNG,BAR,ROOM24,MTGFAC,DOCTOR,SAFDEP,NSMK,CONLEV
123000|All the rooms are tastefully furnished and are fully equipped with modern facilities like mini bar, direct dial telephone, satellite television, individually controlled central air conditioning system and 24 hour room service.
123371|BUSCTR,ORBWLS,POOL,ORBSHT,CNFFAC,REST,FPRKNG,DISABL,INTHS,CONLEV,NSMK,ROOM,HEALTH
124729|ORBWLS,PHY42,ELEV,CNFFAC,POOLOT,PHY50,DISABL,BABY,SPA,INTHS,ROOM,HEALTH,BUSCTR,GIFT,CURREX,POOL,ORBSHT,RMPACC,LANDRY,REST,FPRKNG,BAR,ROOM24,MTGFAC,DOCTOR,SAFDEP,WCHR,CONLEV
126120|ORBWLS,PHY42,HAC47,CNFFAC,RMA207,POOLOT,PHY50,BABY,DISABL,SPA,INTHS,ROOM,PHY28,HEALTH,BUSCTR,CURREX,HAC116,POOL,ORBSHT,RMPACC,LANDRY,REST,FPRKNG,HAC222,ROOM24,MTGFAC,SAFDEP,WCHR,CONLEV
126771|TOUR,ORBWLS,PHY34,PHY42,HAC47,ELEV,CNFFAC,RMA207,ORBSPA,POOLOT,TENNIS,PHY50,BEAUTY,DISABL,SPA,INTHS,ROOM,HEALTH,PHY28,BUSCTR,GIFT,CURREX,HAC116,POOL,ORBSHT,RMPACC,LANDRY,FPRKNG,REST,HAC222,ROOM24,MTGFAC,DOCTOR,SAFDEP,PHY2,WCHR,NSMK,CONLEV
126772|FLORST,DVD,TEL,TOUR,SHOP,ELEV,EXCKIN,NWSPPR,TENNIS,STMBTH,PRKNG,AVEQUP,BABY,BEAUTY,SPA,HAIR,BUSCTR,CURREX,COFMKR,SAFE,POOL,CRIB,LDRYMT,TVSAT,REST,BAR,GYM,CAR,MULTI
127701|TEL,SHOP,EXCKIN,AIRCON,TENNIS,STMBTH,PRKNG,SECU24,AVEQUP,MINBAR,BEAUTY,BABY,DOORMN,INTHS,CMPRTL,HAIR,BUSCTR,CURREX,SAFE,POOL,CRIB,LDRYMT,BAR,REST,BELL,GYM,TRNDWN,CAR,SAFDEP,IRON,NSMK,ENTMNT,MULTI
127977|TEL,POOLOT,SHOWER,ALRMCK,BEAUTY,SPA,BARBER,EXCKOT,PRKVAL,HEALTH,BUSCTR,SMKDET,MADSVC,RADIO,GIFT,HAC116,LOUNGE,CRIB,JACUZ,LANDRY,BELL,CAR,KIDACT,RACCRT,SECURE,IDD,ELEV,CNFSTE,ATM,TVCAB,NWSPPR,CPSVC,TENNIS,BABY,COFFEE,HEAT,EASEL,FISH,CMPRTL,SAFE,COFMKR,RMA161,IRONBD,FPRKNG,SCUBA,BAR,ROOM24,TRNDWN,BOATNG,IRON,NRSERY,BB,CNTBRK,CELTEL,TV,PHSPKR,DESK24,ADPTRS,AIRCON,WHTBRD,SPRINK,WAKEUP,TVRMOT,BIDET,PRKIND,AVEQUP,MINBAR,BATH,ROOM,ELECDR,PRJECT,CURREX,DSKLMP,GYM,MTGFAC,POOLIN,DOCTOR,VALET,SAFDEP,JOGTRK,TMPCTL,OVRPRJ,FIRELT,TOUR,HAC47,EXCKIN,NWSSTD,GOLF,PRKNG,SECU24,SAUNA,INTHS,CONDSK,EXLEVL,HAIR,POOL,PLYGRD,SOLARM,POOLHT,NTECLB,NSMK,BTHTEL
132041|ORBWLS,ELEV,CNFFAC,ORBSPA,POOLOT,BABY,BEAUTY,SPA,INTHS,HEALTH,BUSCTR,CURREX,POOL,LANDRY,BAR,REST,FPRKNG,ROOM24,MTGFAC,DOCTOR,SAFDEP,DISABL,NTECLB,NSMK,CONLEV
132111|Rising 23 floors, the hotel&apos;s blend of 263 luxurious Guestrooms and Suites feature spectacular views overlooking Khalid Lagoon and the Corniche. Each Guestroom is complete with a long bath and shower, satellite TV, electronic safe, IDD telephone, computer &amp; facsimile ports, trouser press, hair dryer and minibar. Suites feature added plush benefits such as the down duvet, DVD/CD player, facsimile machine and luxurious amenities.
132249|BUSCTR,TOUR,ORBWLS,POOL,FPRKNG,BAR,ORBSPA,ROOM24,MTGFAC,TENNIS,SAFDEP,BABY,BEAUTY,SPA,NSMK,CONLEV,HEALTH
132436|TOUR,ORBWLS,PHY34,PHY42,HAC47,ELEV,CNFFAC,RMA207,ORBSPA,POOLOT,PHY50,BEAUTY,DISABL,SPA,INTHS,ROOM,HEALTH,PHY28,BUSCTR,CURREX,HAC116,POOL,RMPACC,LANDRY,REST,FPRKNG,HAC222,ROOM24,MTGFAC,DOCTOR,SAFDEP,PHY2,WCHR,NSMK,CONLEV
133074|CELTEL,FLORST,TV,PHSPKR,TEL,FAP,DESK24,AIRCON,SPRINK,WAKEUP,POOLOT,STMBTH,SHOWER,TVRMOT,AVEQUP,ALRMCK,MINBAR,BEAUTY,SPA,EXCKOT,PRKVAL,ROOM,HEALTH,ELECDR,BUSCTR,SMKDET,RADIO,CASINO,CURREX,ICEMCH,COMPUT,LANDRY,REST,GAME,GYM,THEATR,CAR,DOCTOR,POOLIN,KIDACT,SAFDEP,DISCO,SECURE,AIRLIN,MAP,OVRPRJ,DVD,SHOP,ELEV,EXCKIN,CNFFAC,WTRSKI,TVCAB,NWSPPR,TENNIS,GOLF,POOLSB,BABY,COFFEE,SAUNA,INTHS,CONDSK,EXLEVL,FISH,CMPRTL,FAX,TPRESS,DRVRNG,COFMKR,SAFE,BAR,SCUBA,FPRKNG,ROOM24,TRNDWN,HORSE,IRON,SOLARM,AP,NSMK,BTHTEL,MULTI
134096|Rooms are all small in size and are decorated in brown and beige colours. All  are in good condition, although they do suffer a little from a lack of light   due to the small windows.
135050|TOUR,HAC47,ELEV,DESK24,AIRCON,SPRINK,PRKBUS,WAKEUP,POOLOT,NWSPPR,BIDET,PRKNG,PRKIND,SHUTTL,BABY,SAUNA,SPA,BATH,INTHS,CONDSK,PRKVAL,HAIR,BUSCTR,FAX,GIFT,CURREX,CRIB,PLYGRD,MINGLF,BAR,REST,PRKOUT,MTGFAC,CAR,POOLHT,NSMK,CONLEV,MULTI,SECURE
135470|TOUR,ORBWLS,PHY34,PHY42,HAC47,ELEV,CNFFAC,ORBSPA,POOLOT,BABY,DISABL,SPA,INTHS,ROOM,HAC142,HEALTH,BUSCTR,GIFT,CURREX,HAC116,POOL,HAC141,ORBSHT,LANDRY,FPRKNG,BAR,REST,ROOM24,MTGFAC,DOCTOR,SAFDEP,PHY2,WCHR,NTECLB,NSMK,CONLEV
