HotelCode|PropertyAmenities
141177|Elevator/lift,Limo or Town Car service available,Free WiFi,Airport transportation - drop-off (surcharge)
141178|Free newspapers in lobby,Express check-in
143642|Airport transportation (surcharge),Nightclub
143643|Restaurant,Hairdryer,CafÃ©,Air Condition,Minibar,Safety Box,Bathtub,Satellite T.v,Bar,Private Garage,Business Center,24 Hours Security,Car Rental Service,Shower,Coffee / Tea Making Facility,Iron & Ironing Board,Telephone,Bathroom
143774|Fitness facilities,Airport transportation (surcharge),Television in common areas,Health club,Business center,Limo or Town Car service available,Spa treatment room(s),Wedding services
146256|Spa tub,Airport transportation - pickup (surcharge)
146257|Multilingual staff,Express check-out
146258|Gift shops or newsstand,Health club,Limo or Town Car service available,Pool umbrellas,Free WiFi
147066|Tours/ticket assistance
147074|Outdoor pool,Conference space,Breakfast available (surcharge),Safe-deposit box at front desk,24-hour front desk,Number of restaurants - ,Free valet parking,Free beach shuttle
147572|Number of floors - ,Porter/bellhop
147747|Express check-out,Pool umbrellas,Free reception,Free shopping center shuttle,Water park access (surcharge),Supervised childcare/activities (surcharge)
148021|Gift shops or newsstand,Safe-deposit box at front desk,Snack bar/deli
148126|Restaurant,Outdoor pool,Concierge services,Breakfast available (surcharge),Safe-deposit box at front desk,WiFi (surcharge)
148325|Spa treatment room(s),Tours/ticket assistance,Free WiFi
148777|Safe-deposit box at front desk,Free newspapers in lobby,Porter/bellhop
148796|Outdoor pool,Concierge services,Number of floors -
149095|Coffee shop or café,24-hour business center
149438|Head down to the water and enjoy a day at the private beach, or take advantage of other recreational amenities including an indoor pool and a sauna. Additional amenities include complimentary wireless Internet access, concierge services, and babysitting/childcare.
149442|Luggage storage
149946|Restaurant,Coffee shop or café,Meeting rooms,24-hour business center,Conference space size (meters) - ,Snack bar/deli,Free self parking,Pool sun loungers
149947|Outdoor pool,Concierge services,Parking (limited spaces),Pool sun loungers
150649|Restaurant,Total number of rooms - ,Dry cleaning/laundry service,WiFi (surcharge),Free valet parking,Rooftop terrace
150651|Health club,24-hour front desk,Dry cleaning/laundry service
150653|Babysitting or childcare,Gift shops or newsstand,Total number of rooms - ,Airport transportation (surcharge),Multilingual staff,Tours/ticket assistance,Number of indoor pools - ,Luggage storage
150860|Take advantage of recreation opportunities such as a health club, or other amenities including wireless Internet access (surcharge) and gift shops/newsstands. This hotel also features a hair salon and tour/ticket assistance.
150861|Head down to the water and enjoy a day at the private beach, or take advantage of other recreational amenities including a nightclub and an outdoor pool. Additional amenities include complimentary wireless Internet access, concierge services, and gift shops/newsstands.
153777|Outdoor pool,Concierge services,Coffee shop or café,Dry cleaning/laundry service,WiFi (surcharge)
153778|Fitness facilities,Shopping on site
153779|Outdoor pool,Breakfast available (surcharge),Safe-deposit box at front desk
153780|Coffee/tea in common areas,Laundry facilities,Tours/ticket assistance,Year Built,Luggage storage
153781|Health club,Business center,Spa treatment room(s),Designated smoking areas,Free WiFi,Year Built
153782|Breakfast available (surcharge),Coffee shop or café,Beach shuttle (surcharge)
153784|Fitness facilities,24-hour front desk,Free area shuttle,Beach umbrellas,Beach sun loungers
153799|Wi-Fi (surcharge),Hairdryer,Safe at reception,Spa,Concierge desk,Babysitting service (surcharge),Television,Bar/Lounge,Elevator/Lifts,Ironing board,Conference Facilities,Air conditioning public areas,Mini-bar,Parking (Surcharge may apply),Restaurant,Nightclub,24 hour reception,Free WiFi,Buffet Restaurant
153800|Early check-in,Gymnasium,Coach parking,Lifts,Lobby,Outdoor pool,Porterage,Room Service,Sauna,Air conditioning,Hairdryer,Internet via television,Mini bar,Satellite television,Television,Voltage
153833|Free newspapers in lobby,Sauna,Free valet parking
153834|Fireplace in lobby,Multilingual staff
153870|Business center
153871|Gift shops or newsstand
153922|Car parking (Payable to hotel, if applicable),Early check-in,Lifts,Lobby,Room Service,Air conditioning,Mini bar,Satellite television,Television
153924|Take time to pamper yourself with a visit to the full-service spa. You're sure to appreciate the recreational amenities, including an outdoor pool, a sauna, and a steam room. Additional amenities include complimentary wireless Internet access, concierge services, and babysitting/childcare.
153949|Restaurant,Hairdryer,Wi-Fi access,Television,CafÃ©,Air Condition,Minibar,Safety Box,Concierge,Satellite T.v,Disco,Bar,Doctor On Call,Business Center,Babysitter,24 Hours Security,Wi-Fi In Public Area,Shower,Iron & Ironing Board,24 hr Room Service,Working desk,Telephone,Bathroom
153950|Sauna
153966|Total number of rooms - ,Express check-in
153967|Head down to the water and enjoy a day at the private beach, or take advantage of other recreational amenities including an outdoor pool and a fitness center. Additional features include complimentary wireless Internet access, concierge services, and gift shops/newsstands.
154047|Multilingual staff,Express check-out,Meeting rooms,Billiards or pool table
154546|Enjoy recreation amenities such as an outdoor pool or take in the view from a garden. Additional features include wireless Internet access (surcharge), concierge services, and gift shops/newsstands.
155884|Bath Tub,Parking
156378|Coffee/tea in common areas,Spa services on site,Multilingual staff,Free valet parking
157300|ATM/banking,Library,Limo or Town Car service available,Spa treatment room(s),Free WiFi,Tennis on site
157895|Beauty parlour,Baby sitting,Car parking (Payable to hotel, if applicable),Early check-in,Gymnasium,Coach parking,Indoor pool,Lifts,Lobby,Porterage,Room Service,Sauna,Air conditioning,In-house movie,Hairdryer,Connection for laptop,Mini bar,Satellite television,Television,Voltage
157897|Number of buildings/towers - ,24-hour front desk,Dry cleaning/laundry service,Express check-in,Designated smoking areas (fines apply),One meeting room
158034|Outdoor pool,Concierge services,Coffee shop or café,Safe-deposit box at front desk
158036|24-hour front desk,Dry cleaning/laundry service,Number of restaurants -
158897|Airport transportation (surcharge),Nightclub,Tours/ticket assistance
158898|Elevator/lift,Total number of rooms -
158899|Take advantage of recreation opportunities including a health club and an outdoor pool. Additional amenities include complimentary wireless Internet access, concierge services, and tour/ticket assistance.
158910|Elevator/lift,Rooftop terrace
158960|Laundry facilities,24-hour front desk
159048|24-hour front desk,Dry cleaning/laundry service,Snack bar/deli,Free beach shuttle
159739|Fitness facilities,Safe-deposit box at front desk,Smoke-free property
159757|Number of floors - ,Television in common areas,Business center,Limo or Town Car service available,Free WiFi
159802|Health club,Steam room,Conference space size (meters) - ,Tennis on site,Beach bar,Beach sun loungers
160013|Gift shops or newsstand,Number of floors - ,Airport transportation (surcharge),Nightclub
160014|Shopping on site,Total number of rooms - ,Rooftop terrace
160237|Hair salon,Dry cleaning/laundry service,Steam room,Wedding services,Free shopping center shuttle,Babysitting or childcare (surcharge)
160266|Supervised childcare/activities,Shopping on site,Number of buildings/towers -
160325|Take advantage of recreation opportunities such as a nightclub, or other amenities including complimentary wireless Internet access and complimentary babysitting/childcare. Additional amenities include an arcade/game room, gift shops/newsstands, and shopping on site.
160327|Car parking (Payable to hotel, if applicable),Early check-in,Gymnasium,Coach parking,Lifts,Lobby,Outdoor pool,Porterage,Room Service,In-house movie,Hairdryer,Mini bar,Satellite television,Television
160343|Airport transportation (surcharge),Sauna,Pool umbrellas
160441|Elevator/lift
160671|Enjoy a range of recreational amenities, including a nightclub, an outdoor pool, and a sauna. Additional features include complimentary wireless Internet access, concierge services, and babysitting/childcare. If you'd like to spend the day shopping, you can hop on the complimentary shuttle.
160825|Laundry facilities,Year Built
160947|Supervised childcare/activities,Total number of rooms - ,Express check-in,Number of outdoor pools -
