HotelCode|PropertyAmenities
577662|Free WiFi
577674|Total number of rooms - ,Barbecue grill(s),Terrace
577729|Total number of rooms - ,Breakfast available (surcharge),Front desk (limited hours),Designated smoking areas
577857|Airport transportation (surcharge),Multilingual staff,Pool umbrellas
577872|Luggage storage
577875|Laundry facilities,Multilingual staff,Cruise terminal shuttle (surcharge),Beach shuttle (surcharge),Beach towels
577877|Airport transportation (surcharge),Free WiFi
577921|Free WiFi
577943|Total number of rooms - ,Front desk (limited hours)
578250|Number of floors -
578318|Airport transportation (surcharge)
578443|Restaurant,Breakfast available (surcharge)
578521|Fitness facilities,Smoke-free property,Luggage storage
578528|24-hour front desk
578957|Coffee shop or café,Luggage storage
579041|Dry cleaning/laundry service,Theme park shuttle (surcharge)
579277|Outdoor pool,Safe-deposit box at front desk,Free newspapers in lobby,Shopping center shuttle (surcharge),Parking (limited spaces),Pool sun loungers
579363|Garden,Parking (limited spaces)
579387|Breakfast available (surcharge)
579400|Fitness facilities,Free WiFi
579411|Breakfast available (surcharge),24-hour front desk,Dry cleaning/laundry service,Theme park shuttle (surcharge)
579427|Fitness facilities,Rooftop terrace
579614|Fitness facilities
579637|Total number of rooms -
579639|Pool sun loungers
579662|Gift shops or newsstand,Business center,Free parking nearby
579668|Designated smoking areas,Tours/ticket assistance
579745|Total number of rooms -
579748|Outdoor pool,Breakfast available (surcharge),Luggage storage
579792|Free WiFi
579886|Free newspapers in lobby,Conference space size (feet) - ,Terrace
580114|Number of floors - ,Number of buildings/towers - ,Free breakfast,Free area shuttle,Number of meeting rooms -
580117|Total number of rooms -
580120|Number of buildings/towers - ,Number of coffee shops/cafes -
580122|Number of buildings/towers - ,24-hour front desk,Grocery/convenience store
580129|Designated smoking areas,Free self parking
580131|Free WiFi
580132|Number of buildings/towers - ,Luggage storage
580139|ATM/banking,Free self parking
580151|24-hour front desk
580155|Year Built,Free self parking
580165|Designated smoking areas
580166|Elevator/lift
580170|Porter/bellhop
580187|Dry cleaning/laundry service
580190|Spa tub,Smoke-free property,Luggage storage
580193|Business center,Free WiFi
580197|24-hour front desk,Luggage storage
580201|Beach towels
580204|Breakfast available (surcharge)
580212|Free WiFi
580215|Number of buildings/towers - ,Breakfast available (surcharge)
580216|Outdoor pool
580217|Total number of rooms - ,Number of floors - ,Year Built,Free self parking
580219|ATM/banking,Terrace
580223|Concierge services,Spa services on site,Beach towels
580226|Free beach shuttle
580227|Free WiFi
580235|Area shuttle (surcharge),Free self parking
580248|Bar/lounge
580250|Concierge services
580251|Restaurant
580255|Free WiFi
580260|Barbecue grill(s),Designated smoking areas
580268|Number of buildings/towers - ,24-hour front desk,Dry cleaning/laundry service,Grocery/convenience store,Designated smoking areas (fines apply)
580272|Total number of rooms -
580316|Fitness facilities,Dry cleaning/laundry service
580331|Restaurant,Total number of rooms -
580385|Number of buildings/towers -
580390|Restaurant
580407|Free WiFi
580410|Tours/ticket assistance
580418|Elevator/lift
580428|Outdoor pool,Breakfast available (surcharge)
580433|Designated smoking areas
580445|Free WiFi
580448|Free WiFi
580454|Total number of rooms -
580470|Restaurant,Designated smoking areas,Tours/ticket assistance
580477|Garden,Picnic area
580484|Outdoor pool,Tours/ticket assistance
580486|Breakfast available (surcharge)
580490|Total number of rooms - ,Number of buildings/towers - ,Tours/ticket assistance
580493|Beach umbrellas
580500|Total number of rooms -
580508|Elevator/lift
580516|Outdoor pool,Breakfast available (surcharge),Front desk (limited hours)
580571|Front desk (limited hours)
580635|Number of floors -
580715|Free WiFi
580721|Health club,Children's club,Free WiFi,One meeting room
580723|Laundry facilities
580725|Front desk (limited hours)
580726|Bar/lounge
580729|Free WiFi
580740|Free WiFi
580751|Free WiFi
580764|Total number of rooms - ,Free WiFi
580780|Designated smoking areas,Free self parking
580784|Breakfast available (surcharge)
580794|Concierge services,Total number of rooms - ,Front desk (limited hours)
580798|Elevator/lift
580802|Free WiFi
580809|24-hour front desk,Computer station
580812|Restaurant,Dry cleaning/laundry service
580819|Free WiFi,Number of meeting rooms -
580824|Airport transportation (surcharge),Dry cleaning/laundry service
580827|Front desk (limited hours)
580830|Laundry facilities,Designated smoking areas,Tours/ticket assistance,Terrace
580834|Elevator/lift,Free WiFi
580842|Number of buildings/towers - ,Breakfast available (surcharge),Safe-deposit box at front desk,Luggage storage
580847|Television in common areas,Limo or Town Car service available,Pool umbrellas,Free WiFi,Tennis on site
580849|Designated smoking areas
580858|Total number of rooms - ,Breakfast available (surcharge)
580863|Dry cleaning/laundry service,Express check-in,Computer station
580867|Bar/lounge,Free newspapers in lobby,Direct access to private beach,Pool sun loungers
580870|Free WiFi
580881|Number of buildings/towers -
580887|Tours/ticket assistance
580891|Breakfast available (surcharge)
580896|Outdoor pool,Breakfast available (surcharge)
580914|Grocery/convenience store
580926|Airport transportation (surcharge),Free WiFi
581032|Number of meeting rooms -
105464|Number of buildings/towers - ,24-hour front desk
105751|Make use of convenient amenities, which include wireless Internet access (surcharge) and tour/ticket assistance.
106022|Computer station
106023|Laundry facilities,Free newspapers in lobby,Smoke-free property
106210|Multilingual staff,Wedding services,Free WiFi,Conference space size (meters) -
106221|Free breakfast
106801|Elevator/lift,Total number of rooms - ,Laundry facilities,Express check-out
106866|Restaurant,Number of floors - ,Number of buildings/towers - ,Luggage storage
106911|24-hour front desk,One meeting room
106954|Car parking (Payable to hotel, if applicable),Early check-in,Lifts,Lobby,Laundry facilities,Porterage,Room Service,Satellite television,Television,Voltage
107109|Year Built
107315|Gift shops or newsstand,Television in common areas,Free WiFi
107316|One meeting room
107320|Make use of convenient amenities such as complimentary wireless Internet access, concierge services, and tour/ticket assistance. Getting to nearby attractions is a breeze with the area shuttle (surcharge).
107402|Meeting rooms
107523|Conference space size (feet) - ,Valet parking (surcharge)
107529|Multilingual staff
107662|Porter/bellhop
107670|24-hour reception,Terrace,Check-in hour,Sun terrace,Wi-fi,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,NO Car park,NO Wheelchair-accessible,Bathroom,Shower,Bathtub,Hairdryer,TV,Internet access,Tea and coffee making facilities ,Ironing set,Double bed,Central heating,Safe,Terrace,Wi-fi,Wake-up service,Cot on demand,220V power supply,Toiletries,Desk,Make-up mirror,Fan,Satellite TV ,Cable TV,Plug adaptor,Smoke detector,NO Smoking rooms,NO Disability-friendly bathroom,NO Wheelchair-accessible
107921|Number of buildings/towers - ,Breakfast available (surcharge)
107923|Safe-deposit box at front desk,24-hour front desk,Business center,Dry cleaning/laundry service
108323|Airport transportation (surcharge)
108361|Number of buildings/towers - ,Free breakfast
108362|Gift shops or newsstand
108409|Fireplace in lobby
108482|Concierge services,Coffee shop or café,Safe-deposit box at front desk
108484|Number of floors - ,Express check-out,Sauna
108504|Total number of rooms - ,Conference space,Breakfast available (surcharge),Dry cleaning/laundry service,Snack bar/deli
108544|Airport transportation (surcharge),Free wired high-speed Internet
108690|24-hour front desk
108695|Elevator/lift
108697|In-Room Safe,No Smoking Rooms/Facilities,Free buffet breakfast,Free continental breakfast
108727|Total number of rooms - ,Porter/bellhop,Smoke-free property
108792|Bar/lounge,Number of buildings/towers - ,Dry cleaning/laundry service
108835|Airport name LHR,Restaurant,TV
108857|Make use of convenient amenities, which include complimentary wireless Internet access and tour/ticket assistance.
108960|Bar/Lounge,Television,Restaurant
108961|Elevator/lift,Garden,Full-service spa,Sauna,Free self parking
108962|Airport name LHR,Room service,TV,Restaurant,Minibar,Parking
108968|Airport name LON,TV
108999|Breakfast available (surcharge)
109001|Turkish bath/Hammam,Rooftop terrace
109025|Breakfast available (surcharge),Coffee shop or café,Airport transportation,Year Built
109545|Fitness facilities,Spa treatment room(s),Tours/ticket assistance
109731|Airport transportation (surcharge),Free wired high-speed Internet
109800|Elevator/lift,Area shuttle (surcharge)
110036|24-hour front desk,Smoke-free property,One meeting room
110194|Breakfast available (surcharge),Safe-deposit box at front desk,WiFi (surcharge)
110619|Elevator/lift,Total number of rooms - ,Designated smoking areas,Offsite parking discounted rates available
110689|24-hour front desk,Express check-in
110781|Total number of rooms - ,Breakfast service
110945|Express check-out,Free WiFi,Number of meeting rooms -
110969|Free WiFi
110971|Elevator/lift,Free wired high-speed Internet,Year Built,Offsite parking discounted rates available
111309|Total number of rooms - ,Terrace
111484|Total number of rooms -
111517|Air conditioning in public areas,24-hour reception,Hotel safe,Lift access,Wired Internet,Room service,Laundry service,Gym,Wi-fi,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,NO Car park,NO Wheelchair-accessible,Bathroom,Shower,Bathtub,Hairdryer,Direct dial telephone,TV,Radio,Internet access,Minibar,Tea and coffee making facilities ,Ironing set,Carpeted floors,Individually adjustable air conditioning,Individually adjustable heating ,Safe,Wi-fi,Trouser press,Satellite TV ,YES Smoking rooms,NO Disability-friendly bathroom,NO Wheelchair-accessible
111573|Elevator/lift,Multilingual staff
111621|Free WiFi
111685|Make use of convenient amenities such as wireless Internet access (surcharge), concierge services, and tour/ticket assistance.
111693|Restaurant,24-hour front desk,Dry cleaning/laundry service,Year Built
111798|Designated smoking areas,Tours/ticket assistance
111852|Free breakfast
111853|Luggage storage
111886|Multilingual staff,Self parking (surcharge)
111889|Be sure to enjoy recreational amenities, including an indoor pool, a spa tub, and a sauna. Additional features include wireless Internet access (surcharge), concierge services, and gift shops/newsstands.
111907|Smoke-free property,Luggage storage
111962|Make use of convenient amenities, which include wireless Internet access (surcharge) and tour/ticket assistance.
112107|Number of buildings/towers -
112108|Elevator/lift
112294|Car parking (Payable to hotel, if applicable),Early check-in,Lifts,Lobby,Porterage,Room Service,Television,Voltage
112545|24-hour front desk,Dry cleaning/laundry service,Snack bar/deli
112546|Elevator/lift
112547|Laundry facilities
112632|Coffee shop or café
112634|Total number of rooms - ,Dry cleaning/laundry service
112635|Conference space
112636|Concierge services
112645|24-hour front desk,Dry cleaning/laundry service
112802|Elevator/lift,Tours/ticket assistance
112803|Be sure to enjoy recreational amenities, including a sauna, a steam room, and a fitness center. Additional features include complimentary wireless Internet access, concierge services, and babysitting/childcare (surcharge).
112804|Airport name LHR,Restaurant,Laundry,Room service,Non-smoking rooms,TV,Parking
112831|Designated smoking areas,Free WiFi
112853|Coffee/tea in common areas,Meeting rooms,Luggage storage
113299|24-hour front desk,Dry cleaning/laundry service
113316|Multilingual staff,Limo or Town Car service available,Spa treatment room(s),Wedding services,Designated smoking areas,Free WiFi,Self parking (surcharge)
113475|Business center,Spa treatment room(s)
113554|Take in the views from a garden and make use of amenities such as wireless Internet access (surcharge).
113766|Laundry Service,Conference Facilities,Concierge,Accessible Rooms/Facilities,Restaurant,High Speed Internet,Doctor on Call,24 Hour Room Service,Elevators,In-Room Safe,Fitness Center or Spa,Meeting/Banquet Facilities,Solarium,No Smoking Rooms/Facilities,Bar/Lounge,WiFi
113767|Concierge services,Breakfast available (surcharge),Safe-deposit box at front desk,Free newspapers in lobby,Business center,Porter/bellhop,Smoke-free property
113769|Elevator/lift,Fitness facilities
113770|Bar/lounge,Library,Multilingual staff
113987|Restaurant,Concierge services,Breakfast available (surcharge),Luggage storage
114036|Coffee/tea in common areas,Laundry facilities,Multilingual staff,Designated smoking areas,Snack bar/deli
114047|Health club,Steam room,Number of bars/lounges -
114297|Indoor pool,Dry cleaning/laundry service,Steam room,Long-term parking (surcharge)
114314|Spa tub,Sauna,Conference space size (feet) - ,Terrace
114476|Bar/lounge,Free newspapers in lobby
114657|Babysitting or childcare,Meeting rooms
114658|Express check-out
114659|Breakfast available (surcharge),Safe-deposit box at front desk,Number of restaurants -
114660|Express check-out,Number of restaurants - ,Self parking (surcharge)
114826|Total number of rooms - ,Number of buildings/towers - ,Breakfast available (surcharge),Safe-deposit box at front desk,Business center,Smoke-free property
115151|Dry cleaning/laundry service
115152|Make use of convenient amenities, which include complimentary wireless Internet access and tour/ticket assistance.
115221|Fitness facilities,Arcade/game room,Free WiFi,Self parking (surcharge)
115345|Elevator/lift,Restaurant,Conference space
115387|Restaurant,Number of floors - ,Library,Porter/bellhop
115444|Safe-deposit box at front desk
115502|Limo or Town Car service available,Free WiFi
115523|Make use of convenient amenities such as complimentary wireless Internet access, a television in the lobby, and tour/ticket assistance.
115763|Free breakfast
115778|Bar/lounge,Concierge services
115780|Number of buildings/towers - ,24-hour front desk,Express check-in,Number of restaurants - ,Babysitting or childcare (surcharge)
115807|Total number of rooms -
115857|Total number of rooms - ,Express check-out,Free WiFi
115886|Number of floors - ,Number of buildings/towers - ,Express check-out,Conference space size (meters) -
115898|Airport transportation (surcharge)
115992|Dry cleaning/laundry service,Express check-in,24-hour fitness facilities,Newspapers in lobby (surcharge)
116053|Number of floors -
116270|24-hour reception,Lift access,Wi-fi,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,YES Car park,YES Wheelchair-accessible,Bathroom,Shower,TV,Internet access,Tea and coffee making facilities ,Ironing set,Individually adjustable heating
116271|Express check-in,Year Built
116311|Beauty parlour,Early check-in,Coach parking,Lifts,Lobby,Porterage,Room Service,Satellite television,Television,Voltage
116326|Take in the views from a rooftop terrace and a garden and make use of amenities such as complimentary wireless Internet access. Additional features include concierge services, babysitting/childcare (surcharge), and tour/ticket assistance.
116459|Make use of convenient amenities, which include complimentary wireless Internet access and a television in the lobby.
116600|Limo or Town Car service available,Wedding services,Year Built,Self parking (surcharge)
116601|Fireplace in lobby,Valet parking (surcharge)
116604|Restaurant,Concierge services,Free newspapers in lobby,Porter/bellhop,24-hour business center
116616|Number of buildings/towers - ,Laundry facilities
116645|Conference space,Breakfast available (surcharge),Safe-deposit box at front desk,Picnic area
116808|Dry cleaning/laundry service
116920|Restaurant,24-hour front desk,Steam room,24-hour business center
116956|Use of nearby fitness center (discount)
117136|Elevator/lift,Express check-in,Luggage storage
117375|Concierge services,Breakfast available (surcharge),Safe-deposit box at front desk
117380|Express check-out,Self parking (surcharge)
117385|Business center
117391|Free WiFi
117399|Total number of rooms -
117404|Elevator/lift,Laundry facilities,Free WiFi
117414|Make use of convenient amenities such as complimentary wireless Internet access, wedding services, and a fireplace in the lobby.
117422|Porter/bellhop
117435|Concierge services,Total number of rooms - ,Airport transportation,Number of bars/lounges -
117460|24-hour front desk
117462|Limo or Town Car service available
117473|Bar/lounge,Luggage storage
117543|Total number of rooms - ,Free WiFi,Self parking (surcharge)
117667|Number of floors - ,Breakfast available (surcharge)
117684|Number of floors -
118034|Bar/lounge
118067|Early check-in,Lobby,Hairdryer,Satellite television,Television,Voltage
118069|Enjoy the recreation opportunities such as a fitness center or make use of other amenities including complimentary wireless Internet access.
118129|Television in common areas,Self parking (surcharge)
118162|24-hour front desk,Babysitting or childcare (surcharge)
118163|Limo or Town Car service available,Self parking (surcharge)
118211|Business centre,Early check-in,Lifts,Lobby,In-house movie,Hairdryer,Internet via television,Connection for laptop,Satellite television,Television,Voltage
118310|Early check-in,Lifts,Porterage,Room Service,Air conditioning,Hairdryer,Internet via television,Satellite television,Television
118588|Fitness facilities,24-hour front desk,Dry cleaning/laundry service,Meeting rooms
118593|Breakfast available (surcharge),24-hour front desk,Smoke-free property
118603|Restaurant,Dry cleaning/laundry service,Meeting rooms
118721|Dry cleaning/laundry service,Express check-in,Number of restaurants - ,Newspapers in lobby (surcharge)
118900|Safe-deposit box at front desk,Free newspapers in lobby,Meeting rooms,Year Built
118902|Elevator/lift
118914|Concierge services,Dry cleaning/laundry service
119009|Disabled facilities,Early check-in,Coach parking,Lifts,Lobby,Porterage,Room Service,Television,Voltage
119118|Laundry facilities,Multilingual staff,Tours/ticket assistance,Number of meeting rooms - ,Valet parking (surcharge)
119119|Safe-deposit box at front desk,Free newspapers in lobby,Porter/bellhop,Smoke-free property,Conference space size (meters) -
119130|No Smoking Rooms/Facilities,Coffee Maker in Room,Elevators,Radio,24 Hour Front Desk,Restaurant,Hairdryer in Room,Cribs Available,Safe,Wake-up Service,AM/FM Alarm Clock,Multilingual,Security,Accessible facilities,Trouser Press,Porters,In-Room Safe,High Speed Internet,Data port Available,Guest Laundromat,Television with Cable,WiFi,Bar/Lounge,Lounge
119131|Laundry facilities,Free breakfast
119132|Total number of rooms -
119147|Airport transfer, Dry cleaning, Room service - 24 hrs, Safe deposit box, Banquet facilities, Bar, Internet access - High-Speed, Internet access - Wireless, Laundry service, Lift / Elevator, Business centre, Lobby, Non-smoking rooms, Concierge, Conference facilities, Pets allowed, Currency exchange, Reception, Doctor on call, Restaurant.
119156|24-hour reception,Lift access,Laundry service,Wi-fi,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,NO Car park,NO Wheelchair-accessible,Hairdryer,Tea and coffee making facilities ,Safe,Wi-fi,Wake-up service,Cot on demand,NO Smoking rooms,NO Disability-friendly bathroom,NO Wheelchair-accessible
119188|Arcade/game room
119189|Bar/lounge,Spa services on site,Express check-out,Self parking (surcharge)
119196|Elevator/lift
119197|Laundry facilities,Spa services on site,Multilingual staff,Free WiFi,24-hour fitness facilities
119198|Elevator/lift,Multilingual staff,Free wired high-speed Internet
119202|Restaurant,Dry cleaning/laundry service,One meeting room,Babysitting or childcare (surcharge)
119207|Early check-in,Lobby,Porterage,Television
119215|Breakfast available (surcharge),Dry cleaning/laundry service
119225|Number of floors -
119231|Multilingual staff,Limo or Town Car service available
119235|Take in the views from a terrace and make use of amenities such as wireless Internet access (surcharge) and tour/ticket assistance.
119241|Take in the views from a terrace and a garden and make use of amenities such as complimentary wireless Internet access.
119252|Restaurant
119255|Restaurant,24-hour front desk,24-hour fitness facilities,Babysitting or childcare (surcharge)
119261|Gift shops or newsstand,24-hour front desk
119296|Coffee shop or café,Dry cleaning/laundry service
119313|Television in common areas,Free breakfast,Free WiFi
119326|24-hour front desk,Dry cleaning/laundry service
119335|Total number of rooms - ,Free newspapers in lobby,Porter/bellhop,Luggage storage
119367|Multilingual staff
119370|Free WiFi
119375|Relax at the full-service spa, where you can enjoy massages, body treatments, and facials. If you're looking for recreational opportunities, you'll find a health club, an indoor pool, and a sauna. Additional features at this Edwardian hotel include wireless Internet access (surcharge), concierge services, and babysitting/childcare (surcharge).
119391|Take advantage of recreation opportunities such as a fitness center, or other amenities including complimentary wireless Internet access and concierge services.
119392|Breakfast available (surcharge),Number of restaurants -
119395|Bar/lounge,Free WiFi,Number of meeting rooms - ,Self parking (surcharge)
119398|Elevator/lift,Tours/ticket assistance,Terrace
119458|Business center,Wedding services,Rooftop terrace
119459|Dry cleaning/laundry service
119460|24-hour front desk,Dry cleaning/laundry service,Wedding services,Number of meeting rooms -
119461|Fitness facilities,Business center
119462|Restaurant,Luggage storage
119463|24-hour front desk,Dry cleaning/laundry service,Number of meeting rooms -
119466|Wedding services
119467|Free self parking
119468|Disabled facilities,Early check-in,Lifts,Lobby,Porterage,Room Service,In-house movie,Hairdryer,Connection for laptop,Mini bar,Satellite television,Television,Voltage
120566|Bar/lounge,Luggage storage
120568|Elevator/lift,Total number of rooms - ,Free WiFi
120596|Fitness facilities,Business center,Tours/ticket assistance,Computer station
120617|Take in the views from a garden and make use of amenities such as complimentary wireless Internet access.
120633|Garden,Multilingual staff
121969|Smoke-free property
122972|Coffee shop or café,Turkish bath/Hammam
122973|Safe-deposit box at front desk
122974|Sauna
122976|Free WiFi
122977|Make use of convenient amenities such as wireless Internet access (surcharge), concierge services, and discounted use of a nearby fitness facility.
123450|Number of meeting rooms -
123451|ATM/banking,Self parking (surcharge)
123452|Restaurant,Breakfast available (surcharge),Luggage storage
124154|Coffee/tea in common areas,Multilingual staff,Tours/ticket assistance
125433|Turkish bath/Hammam
125434|Laundry facilities,Tours/ticket assistance
125435|Smoke-free property
125439|Business centre,Baby sitting,Disabled facilities,Early check-in,Coach parking,Lifts,Lobby,Porterage,Room Service,Air conditioning,In-house movie,Hairdryer,Internet via television,Mini bar,Satellite television,Television,Voltage
125440|Bar/lounge,Total number of rooms - ,Spa tub,Offsite parking discounted rates available
125566|NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,NO Car park,NO Wheelchair-accessible,NO Smoking rooms,NO Disability-friendly bathroom,NO Wheelchair-accessible
125568|Breakfast available (surcharge),Dry cleaning/laundry service
125569|Supervised childcare/activities,24-hour front desk,Luggage storage
125571|Coffee/tea in common areas,Multilingual staff,Number of meeting rooms -
125572|Elevator/lift,Laundry facilities,Sauna,Luggage storage,Free pool cabanas
125573|Bar/lounge,ATM/banking,Free newspapers in lobby,Porter/bellhop,Dry cleaning/laundry service,Full-service spa,Meeting rooms
125574|Number of indoor pools -
125576|Garden,Free self parking,Terrace
125605|One meeting room
125607|Wedding services
125609|Breakfast available (surcharge),Safe-deposit box at front desk
125612|Number of buildings/towers - ,Free breakfast,Computer station
125614|Bar/lounge,Library,Free newspapers in lobby,Terrace
125616|Indoor pool,Restaurant,24-hour front desk,Number of meeting rooms -
125621|Take in the views from a terrace and make use of amenities such as complimentary wireless Internet access and wedding services.
125623|Meeting rooms,Number of meeting rooms -
125625|Restaurant,Dry cleaning/laundry service,WiFi (surcharge)
125626|Wedding services
125628|24-hour reception,Lift access,Wi-fi,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,NO Car park,YES Wheelchair-accessible,Bathroom,Shower,TV,Internet access,Tea and coffee making facilities ,Ironing set,Individually adjustable heating ,Wi-fi,Cot on demand
125629|Number of floors - ,Free newspapers in lobby,Full-service spa,Smoke-free property
125638|Breakfast available (surcharge)
125639|24-hour front desk,Dry cleaning/laundry service,Meeting rooms,Year Built
125640|24-hour front desk
125642|Bar/lounge,Laundry facilities
125643|Total number of rooms - ,Tours/ticket assistance
125645|Indoor pool,Total number of rooms - ,Dry cleaning/laundry service
125646|24-hour reception,Room service,Gym,Wi-fi,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,YES Car park,NO Wheelchair-accessible,Bathroom,Hairdryer,Direct dial telephone,TV,Tea and coffee making facilities ,Ironing set,Wi-fi,Wake-up service,Cot on demand
125647|Garden,Room service,Bicycle storage,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,NO Car park,NO Wheelchair-accessible,Bathroom,Shower,Bathtub,Hairdryer,Direct dial telephone,TV,Radio,Internet access,Tea and coffee making facilities ,Double bed,King-size bed 150-183 width,Carpeted floors,Central heating
125649|Fitness facilities,Laundry facilities,Television in common areas,Health club,Spa treatment room(s),Steam room,Year Built
125650|Make use of convenient amenities, which include complimentary wireless Internet access and a fireplace in the lobby.
125651|Elevator/lift,Spa tub,Sauna,Conference center,Luggage storage
125652|Free WiFi,One meeting room
125653|Bar/lounge,Tours/ticket assistance
125656|Meeting rooms,Wedding services
125657|Number of meeting rooms -
125659|Total number of rooms - ,Number of floors -
125661|Conference Facilities,Restaurant,Room Service,WiFi
125662|Restaurant,Wedding services
125666|No Smoking Rooms/Facilities,WiFi
125668|Make use of convenient amenities, which include complimentary wireless Internet access and tour/ticket assistance.
125697|Conference space,Garden,Safe-deposit box at front desk,Porter/bellhop,Full-service spa,Number of restaurants - ,Free self parking,Terrace
125699|Bar/lounge,Poolside bar
125701|Take advantage of recreation opportunities such as an outdoor pool, or other amenities including a fireplace in the lobby and tour/ticket assistance.
125703|Don't miss out on the many recreational opportunities, including a spa tub, a sauna, and a steam room. Additional features include complimentary wireless Internet access, concierge services, and wedding services.
125704|Indoor pool
125705|Restaurant,Breakfast available (surcharge),Luggage storage
125706|Enjoy recreation amenities such as an outdoor pool or take in the view from a garden. Additional features include complimentary wireless Internet access and tour/ticket assistance.
125710|Spa tub
125712|Wi-fi,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,NO Car park,NO Wheelchair-accessible,Hairdryer,Radio,Tea and coffee making facilities ,Wi-fi,Cot on demand,NO Smoking rooms,NO Disability-friendly bathroom,NO Wheelchair-accessible
125713|Bar/lounge,Number of floors - ,Garden,Library,Year Built
125715|Restaurant,Total number of rooms - ,Conference space,Breakfast available (surcharge)
125717|Free breakfast
125718|Airport name JER,Tennis court,Laundry,TV,Parking,Restaurant,Room service
125719|Luggage storage
125721|Airport name JER,Room service,Laundry,Sauna,Gym,Shop,Restaurant
125722|Laundry facilities,Tours/ticket assistance
125724|Make use of convenient amenities such as complimentary wireless Internet access, concierge services, and an arcade/game room. Additional amenities include a fireplace in the lobby and tour/ticket assistance.
125725|Don't miss out on recreational opportunities including an outdoor pool and bicycles to rent.
125751|Bar/lounge,ATM/banking,Number of floors - ,Multilingual staff
126519|Take advantage of recreation opportunities such as a 24-hour fitness center, or other amenities including complimentary wireless Internet access and concierge services.
126520|Number of floors - ,Sauna
126521|Breakfast available (surcharge),Computer station
126522|Bar/lounge,Number of floors - ,Laundry facilities
126523|Elevator/lift,Tours/ticket assistance,Luggage storage
127307|Fitness facilities,Limo or Town Car service available,Year Built,Computer station
127308|Number of floors - ,Health club,Business center,Limo or Town Car service available,Wedding services
127325|Fitness facilities,Spa treatment room(s)
127405|Number of floors - ,Breakfast available (surcharge)
127918|Luggage storage
127919|24-hour business center,Parking (limited spaces)
127920|Dry cleaning/laundry service
127921|Laundry facilities,Television in common areas,Designated smoking areas
127922|Outdoor seasonal pool
127924|Multilingual staff
127925|Take in the views from a terrace and make use of amenities such as complimentary wireless Internet access.
127926|Total number of rooms - ,Health club,24-hour front desk,Dry cleaning/laundry service
127927|Free breakfast,Beach bar
127928|Restaurant
127929|Free parking,Conference Facilities,Accessible Rooms/Facilities,Pet friendly,Pool,Restaurant,Room Service,High Speed Internet,No Smoking Rooms/Facilities,Bar/Lounge,WiFi,Spa
127930|Bar/lounge,Children's pool,Full-service spa,Free self parking,Terrace
127931|Bar/lounge,Luggage storage
127932|Wired Internet,Sun terrace,Wi-fi,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,NO Car park,NO Wheelchair-accessible
127933|Free WiFi
127934|Number of floors - ,Billiards or pool table
127935|Garden,Free self parking,Terrace
127936|Garden,Mobile phone coverage,Wired Internet,Check-in hour,Bicycle storage,Check-out hour,Secure parking,Multilingual staff,Wi-fi,NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,YES Car park,NO Wheelchair-accessible,Bathroom,Shower,Bathtub,Hairdryer,TV,Radio,Internet access,Tea and coffee making facilities ,Ironing set,Double bed,King-size bed 150-183 width,Carpeted floors,Central heating,Individually adjustable heating ,Living room,Wi-fi,Wake-up service,Cot on demand,CD player ,Alarm clock,Toiletries,Desk,Make-up mirror,Trouser press,Plug adaptor,Queen-size bed,Smoke detector,NO Smoking rooms,NO Disability-friendly bathroom,NO Wheelchair-accessible
127937|Total number of rooms - ,Year Built
127939|Free WiFi
127940|Make use of convenient amenities, which include complimentary wireless Internet access and wedding services.
127941|Indoor pool,Breakfast available (surcharge),Express check-out,Spa treatment room(s),Wedding services
127942|Take in the views from a garden and make use of amenities such as complimentary wireless Internet access and wedding services. This inn also features a fireplace in the lobby and a television in the lobby.
127943|Elevator/lift,Total number of rooms - ,Sauna,Designated smoking areas,Outdoor tennis courts -
127944|NO Large pets allowed (over 5 kg),NO Small pets allowed (under 5 kg),NO Garage,NO Car park,NO Wheelchair-accessible,Bathroom,Hairdryer,Direct dial telephone,Central heating,Safe
127945|Number of buildings/towers -
127947|Conference Facilities,No Smoking Rooms/Facilities,Ironing Board,Coffee Maker in Room,Pool,Radio,Elevators,24 Hour Front Desk,Restaurant,Hairdryer in Room,Wake-up Service,AM/FM Alarm Clock,Copy Service,Security,Accessible facilities,Trouser Press,Room Service,Horseback Riding,Meeting/Banquet Facilities,Outdoor Parking,Business Center,Porters,In-Room Safe,Free parking,High Speed Internet,Indoor Pool,Data port Available,Television with Cable,WiFi,Exercise Gym,Bar/Lounge,Lounge
127948|Dry cleaning/laundry service
